Phone Name,Price,Date Time
"Apple iPhone XR (White, 64 GB)","47,900",05-12-2019 11:41
"Apple iPhone XR (Black, 64 GB)","49,899",05-12-2019 11:41
"Apple iPhone XR (Coral, 64 GB)","47,900",05-12-2019 11:41
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","49,900",05-12-2019 11:41
"Apple iPhone XR (Blue, 64 GB)","49,900",05-12-2019 11:41
"Apple iPhone XR (Yellow, 64 GB)","54,999",05-12-2019 11:41
"Apple iPhone XR (White, 64 GB)","47,900",05-12-2019 11:41
"Apple iPhone XR (Black, 64 GB)","49,899",05-12-2019 11:41
"Apple iPhone XR (Coral, 64 GB)","47,900",05-12-2019 11:41
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","49,900",05-12-2019 11:41
"Apple iPhone XR (Blue, 64 GB)","49,900",05-12-2019 11:41
"Apple iPhone XR (Yellow, 64 GB)","54,999",05-12-2019 11:41
"Apple iPhone XR (White, 64 GB)","47,900",05-12-2019 11:43
"Apple iPhone XR (Black, 64 GB)","49,899",05-12-2019 11:43
"Apple iPhone XR (Coral, 64 GB)","47,900",05-12-2019 11:43
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","49,900",05-12-2019 11:43
"Apple iPhone XR (Blue, 64 GB)","49,900",05-12-2019 11:43
"Apple iPhone XR (Yellow, 64 GB)","54,999",05-12-2019 11:43
